,week_day,tpo,count,pnl_avg,pnl_min,pnl_max
0,Friday,1,377,-0.02,-0.19,0.23
1,Friday,2,390,-0.01,-0.22,0.31
2,Friday,3,390,-0.02,-0.2,0.23
3,Friday,4,390,-0.0,-0.23,0.45
4,Friday,5,390,-0.01,-0.23,0.23
5,Friday,6,390,0.0,-0.11,0.17
6,Friday,7,390,-0.01,-0.22,0.22
7,Friday,8,390,-0.01,-0.14,0.19
8,Friday,9,390,0.01,-0.14,0.45
9,Friday,10,366,-0.01,-0.18,0.19
10,Friday,11,180,0.0,-0.2,0.17
11,Monday,1,289,-0.0,-0.23,0.35
12,Monday,2,270,-0.01,-0.2,0.42
13,Monday,3,270,0.02,-0.22,0.43
14,Monday,4,270,0.02,-0.24,0.56
15,Monday,5,270,-0.01,-0.17,0.15
16,Monday,6,270,0.01,-0.15,0.15
17,Monday,7,270,0.01,-0.1,0.22
18,Monday,8,270,-0.01,-0.16,0.15
19,Monday,9,270,-0.01,-0.15,0.22
20,Monday,10,270,-0.02,-0.19,0.19
21,Monday,11,135,-0.02,-0.12,0.19
22,Thursday,1,377,-0.02,-0.39,0.55
23,Thursday,2,390,0.04,-0.41,0.6
24,Thursday,3,390,0.0,-0.39,0.51
25,Thursday,4,389,-0.04,-0.45,0.31
26,Thursday,5,390,-0.02,-0.37,0.28
27,Thursday,6,390,-0.02,-0.31,0.26
28,Thursday,7,390,-0.04,-0.3,0.23
29,Thursday,8,390,-0.01,-0.31,0.47
30,Thursday,9,390,-0.04,-0.32,0.5
31,Thursday,10,390,0.01,-0.32,0.49
32,Thursday,11,195,-0.04,-0.37,0.4
33,Tuesday,1,290,0.01,-0.22,0.34
34,Tuesday,2,300,-0.0,-0.23,0.26
35,Tuesday,3,300,-0.03,-0.21,0.16
36,Tuesday,4,300,-0.01,-0.16,0.26
37,Tuesday,5,300,0.04,-0.24,0.43
38,Tuesday,6,300,-0.05,-0.23,0.14
39,Tuesday,7,300,-0.0,-0.16,0.3
40,Tuesday,8,300,0.01,-0.21,0.35
41,Tuesday,9,300,-0.05,-0.26,0.21
42,Tuesday,10,300,-0.01,-0.27,0.27
43,Tuesday,11,150,-0.02,-0.27,0.35
44,Wednesday,1,377,-0.03,-0.24,0.37
45,Wednesday,2,390,0.02,-0.23,0.51
46,Wednesday,3,390,0.0,-0.25,0.51
47,Wednesday,4,390,0.02,-0.29,0.34
48,Wednesday,5,390,0.05,-0.24,0.43
49,Wednesday,6,390,0.02,-0.24,0.52
50,Wednesday,7,390,0.04,-0.24,0.56
51,Wednesday,8,390,0.0,-0.27,0.53
52,Wednesday,9,373,-0.03,-0.25,0.4
53,Wednesday,10,360,-0.02,-0.33,0.24
54,Wednesday,11,180,-0.03,-0.34,0.25
